Date,Close/Last,Volume,Open,High,Low,Company
10/12/2022,"98,30",17343430,"98,27"," 99,65"," 97,67",Google
10/11/2022,"98,05",21617730,"98,25"," 100,12"," 97,25",Google
10/10/2022,"98,71",16529900,"99,85"," 99,99"," 97,87",Google
10/07/2022,"99,57",24249910,"100,65"," 101,42"," 99,21",Google
10/06/2022,"102,24",17156240,"101,50"," 103,73"," 101,50",Google
10/05/2022,"102,22",18475520,"100,69"," 102,74"," 99,74",Google
10/04/2022,"102,41",22580930,"101,04"," 102,72"," 101,04",Google
10/03/2022,"99,30",24840030,"97,22"," 99,97"," 97,02",Google
09/30/2022,"96,15",26277830,"97,73"," 99,49"," 96,03",Google
09/29/2022,"98,09",21921520,"99,30"," 99,30"," 96,52",Google
09/28/2022,"100,74",24617000,"98,02"," 101,40"," 97,80",Google
09/27/2022,"98,09",24224990,"99,91"," 100,46"," 97,34",Google
09/26/2022,"98,81",22437940,"98,61"," 100,44"," 98,38",Google
09/23/2022,"99,17",25656960,"100,06"," 100,11"," 98,01",Google
09/22/2022,"100,57",21272680,"99,45"," 101,68"," 99,41",Google
09/21/2022,"100,01",26596760,"102,24"," 103,49"," 99,99",Google
09/20/2022,"101,83",24001670,"102,88"," 103,17"," 101,12",Google
09/19/2022,"103,85",19738600,"102,54"," 104,02"," 102,37",Google
09/16/2022,"103,63",64540120,"102,97"," 104,03"," 101,86",Google
09/15/2022,"103,90",26494930,"105,01"," 106,21"," 103,31",Google
09/14/2022,"105,87",22115810,"105,44"," 106,10"," 104,50",Google
09/13/2022,"105,31",33014990,"108,89"," 109,37"," 105,00",Google
09/12/2022,"111,87",19732910,"111,99"," 112,64"," 110,93",Google
09/09/2022,"111,78",21745030,"110,05"," 112,00"," 110,00",Google
09/08/2022,"109,42",21660650,"109,18"," 110,58"," 108,06",Google
09/07/2022,"110,48",22987180,"107,76"," 110,99"," 107,61",Google
09/06/2022,"107,48",20565050,"108,14"," 108,88"," 106,51",Google
09/02/2022,"108,68",20618080,"111,34"," 111,67"," 108,13",Google
09/01/2022,"110,55",22784390,"109,20"," 111,22"," 108,19",Google
08/31/2022,"109,15",25897980,"111,63"," 111,77"," 109,05",Google
08/30/2022,"109,91",20548200,"111,03"," 111,37"," 108,80",Google
08/29/2022,"110,34",20386140,"110,78"," 111,96"," 109,81",Google
08/26/2022,"111,30",31698670,"115,81"," 116,60"," 111,22",Google
08/25/2022,"117,70",14874670,"115,15"," 117,78"," 115,05",Google
08/24/2022,"114,70",16051170,"114,45"," 115,72"," 113,78",Google
08/23/2022,"114,77",14390690,"114,32"," 115,93"," 114,30",Google
08/22/2022,"115,07",19316020,"116,10"," 116,50"," 114,67",Google
08/19/2022,"118,12",20186980,"119,87"," 120,00"," 117,67",Google
08/18/2022,"120,86",15652030,"120,23"," 121,69"," 119,55",Google
08/17/2022,"120,32",17589160,"120,93"," 122,15"," 120,20",Google
08/16/2022,"122,51",15626170,"122,32"," 123,23"," 121,53",Google
08/15/2022,"122,88",15524950,"122,21"," 123,26"," 121,57",Google
08/12/2022,"122,65",16121090,"121,16"," 122,65"," 120,40",Google
08/11/2022,"119,82",16671630,"122,08"," 122,34"," 119,55",Google
08/10/2022,"120,65",20497020,"119,59"," 121,78"," 119,36",Google
08/09/2022,"117,50",15424260,"117,99"," 118,20"," 116,56",Google
08/08/2022,"118,14",17061110,"119,12"," 120,86"," 117,83",Google
08/05/2022,"118,22",15615660,"116,93"," 118,86"," 116,71",Google
